,USER_ID,date,call_duration,db_value_mean,db_value_max,db_value_min,lux_value_mean,lux_value_max,lux_value_min,msg_num,pic_num,sleep_duration,step_count,daily_score,weekly_score,label
216,23101915,20231006,,,,,,,,1.0,,,,,,0
217,23101915,20231010,,,,,,,,1.0,,,,,,0
218,23101915,20231011,,,,,,,,1.0,,,,,,0
219,23101915,20231018,,,,,,,,1.0,20.0,,6719.0,,,0
220,23101917,20231010,,,,,,,,1.0,,,,,,1
221,23101918,20231013,,,,,,,,2.0,8.0,,,,,0
222,23101918,20231014,,,,,,,,1.0,3.0,,,,,0
223,23101918,20231015,,,,,,,,1.0,2.0,,,,,0
224,23101918,20231016,,,,,,,,2.0,4.0,,,,,0
225,23101918,20231017,,,,,,,,1.0,7.0,,,,,0
226,23101918,20231019,,,,,,,,3.0,15.0,,,,,0
227,23101919,20230927,,,,,,,,1.0,,,,,,0
228,23101919,20231007,,,,,,,,1.0,,,,,,0
229,23101919,20231016,,,,,,,,1.0,5.0,,,,,0
230,23101919,20231019,,,,,,,,2.0,4.0,,,,,0
231,23101920,20231001,,,,,,,,1.0,,,,,,0
232,23101920,20231004,,,,,,,,1.0,,,,,,0
233,23101920,20231010,,,,,,,,3.0,,,,,,0
234,23101920,20231011,,,,,,,,1.0,,,,,,0
235,23101920,20231013,,,,,,,,11.0,6.0,,,,,0
236,23101921,20231015,,,,,,,,1.0,1.0,,,,,0
237,23101921,20231016,,,,,,,,2.0,15.0,,,,,0
238,23101921,20231017,,,,,,,,7.0,1.0,,,,,0
239,23101923,20231019,,,,,,,,6.0,1.0,,,,,0
240,23101927,20230921,,,,,,,,2.0,,,,,,0
241,23101927,20231005,,,,,,,,1.0,,,,,,0
242,23101930,20231016,,,,,,,,1.0,11.0,,,,,0
243,23101931,20230929,,,,,,,,1.0,,,,,,0
244,23101931,20230930,,,,,,,,1.0,,,,,,0
245,23101931,20231001,,,,,,,,3.0,,,,,,0
246,23101931,20231002,,,,,,,,2.0,,,,,,0
247,23101931,20231013,,,,,,,,2.0,8.0,,,,,0
248,23101931,20231014,,,,,,,,1.0,10.0,,,,,0
249,23102002,20230925,,,,,,,,1.0,,,,,,0
250,23102002,20231003,,,,,,,,1.0,,,,,,0
251,23102002,20231007,,,,,,,,1.0,,,,,,0
252,23102002,20231013,,,,,,,,1.0,22.0,,,,,0
253,23102003,20231008,,,,,,,,4.0,,,,,,0
254,23102003,20231018,,,,,,,,6.0,,,,,,0
255,23102004,20230929,,,,,,,,1.0,,,,,,1
256,23102008,20231003,,,,,,,,4.0,,,,,,2
257,23102011,20231019,,,,,,,,1.0,,,,,,2
258,23102012,20230921,,,,,,,,2.0,,,,,,2
259,23102012,20230925,,,,,,,,2.0,,,,,,2
260,23102012,20230926,,,,,,,,1.0,,,,,,2
261,23102012,20230927,,,,,,,,1.0,,,,,,2
262,23102012,20231006,,,,,,,,1.0,,,,,,2
263,23102012,20231012,,,,,,,,1.0,,,,,,2
264,23102012,20231017,,,,,,,,1.0,10.0,,,,,2
265,23102012,20231019,,,,,,,,1.0,33.0,,,,,2
266,23102013,20231015,,,,,,,,1.0,2.0,,,,,0
